Fname,Lname,Position,team,GP,G,A,P,PPG,PIM,Success,season,Standing
Tapio,Relander,1,HIFK U16,12,15,10,25,2.08,55,0,2006-2007,2.0
Jesse,Viljama,1,HIFK U16,13,10,11,21,1.62,24,0,2006-2007,2.0
Tommi,Koivunen,1,HIFK U16,12,5,14,19,1.58,0,0,2006-2007,2.0
Joshua,Kossila,1,Blues U16,13,9,9,18,1.39,24,0,2006-2007,1.0
Niko,Aitero,1,Jokerit U16,13,8,9,17,1.31,6,0,2006-2007,3.0
Sami,Tervonen,1,Jokerit U16,12,4,12,16,1.33,8,0,2006-2007,3.0
Panu,Heikkinen,1,HIFK U16,13,3,13,16,1.23,14,0,2006-2007,2.0
Moses,Mustonen,1,Blues U16,10,6,9,15,1.50,18,0,2006-2007,1.0
Topias,Anttila,1,HIFK U16,12,6,9,15,1.25,18,0,2006-2007,2.0
Anssi,Männikkö,1,HIFK U16,13,4,11,15,1.15,4,0,2006-2007,2.0
Jiri,Vehmassalo,1,Jokerit U16,13,7,7,14,1.08,4,0,2006-2007,3.0
Henri,Vikström,1,Jokerit U16,13,6,8,14,1.08,2,0,2006-2007,3.0
Peter,Eskelinen,1,HIFK U16,12,8,4,12,1.00,4,0,2006-2007,2.0
Tim,Basili,1,Jokerit U16,13,9,2,11,0.85,2,0,2006-2007,3.0
Jussi,Alanen,1,Blues U16,8,7,3,10,1.25,49,0,2006-2007,1.0
Robert,Bützow,0,Jokerit U16,9,3,7,10,1.11,8,0,2006-2007,3.0
Ville,Kaukjärvi,0,HIFK U16,11,1,9,10,0.91,6,0,2006-2007,2.0
Henri,Laurila,1,Jokerit U16,13,1,8,9,0.69,6,0,2006-2007,3.0
Samu-Petteri,Pääkkö,1,HIFK U16,13,6,2,8,0.62,8,0,2006-2007,2.0
Petteri,Halinen,1,Blues U16,9,5,3,8,0.89,4,0,2006-2007,1.0
Tony,Heikkilä,1,Blues U16,10,2,5,7,0.70,2,0,2006-2007,1.0
Tony,Rae,0,HIFK U16,13,2,5,7,0.54,4,0,2006-2007,2.0
Ville,Pakarinen,0,Jokerit U16,12,1,6,7,0.58,16,0,2006-2007,3.0
Vitali,Soitu,0,HIFK U16,13,1,6,7,0.54,37,0,2006-2007,2.0
Joonas,Länsisalmi,1,Jokerit U16,4,2,4,6,1.50,6,0,2006-2007,3.0
Atte,Soininen,1,Blues U16,13,1,5,6,0.46,6,0,2006-2007,1.0
Jani,Punnala,1,HIFK U16,5,3,2,5,1.00,4,0,2006-2007,2.0
Raine,Hilpi,1,Blues U16,13,2,3,5,0.39,20,0,2006-2007,1.0
Joel,Reijonen,0,Jokerit U16,9,1,4,5,0.56,12,0,2006-2007,3.0
Petrus,Pöytäniemi,0,Blues U16,13,1,4,5,0.39,2,0,2006-2007,1.0
Niklas,Lindborg,1,Jokerit U16,13,1,4,5,0.39,6,0,2006-2007,3.0
Teemu,Martikainen,1,Blues U16,11,1,3,4,0.36,8,0,2006-2007,1.0
Matias,Virta,0,Jokerit U16,4,0,4,4,1.00,0,0,2006-2007,3.0
Tuomo,Salmi,0,Blues U16,11,0,4,4,0.36,12,0,2006-2007,1.0
Jose,Sneck,1,Jokerit U16,5,3,0,3,0.60,0,0,2006-2007,3.0
Vertti,Virasjoki,1,Jokerit U16,11,2,1,3,0.27,2,0,2006-2007,3.0
Matias,Sipinen,0,HIFK U16,7,0,3,3,0.43,2,0,2006-2007,2.0
Joni,Salmela,0,Jokerit U16,8,0,3,3,0.38,2,0,2006-2007,3.0
Riku,Kanerva,0,Blues U16,11,0,3,3,0.27,35,0,2006-2007,1.0
Niko,Ehari,1,Blues U16,12,2,0,2,0.17,0,0,2006-2007,1.0
Karri,Vehviläinen,0,HIFK U16,6,1,1,2,0.33,2,0,2006-2007,2.0
Toni,Vesterinen,0,HIFK U16,12,0,2,2,0.17,12,0,2006-2007,2.0
Joni,Mäkinen,1,Jokerit U16,2,1,0,1,0.50,0,0,2006-2007,3.0
Juuso,Tähtinen,1,Jokerit U16,6,1,0,1,0.17,6,0,2006-2007,3.0
Aleksi,Laine,0,Jokerit U16,2,0,1,1,0.50,0,0,2006-2007,3.0
Jukka,Ojala,0,Blues U16,10,0,1,1,0.10,2,0,2006-2007,1.0
Miikka,Patteri,0,Blues U16,10,0,1,1,0.10,6,0,2006-2007,1.0
Harri,Heinonen,1,Blues U16,11,0,1,1,0.09,8,0,2006-2007,1.0
Isto,Rukkila,1,HIFK U16,0,0,0,0,0.00,0,0,2006-2007,2.0
Jussi,Hänninen,0,Blues U16,0,0,0,0,0.00,0,0,2006-2007,1.0
Henri,Erkkilä,1,Blues U16,0,0,0,0,0.00,0,0,2006-2007,1.0
Tuomas,Ahola,0,HIFK U16,0,0,0,0,0.00,0,0,2006-2007,2.0
Rikhard,Venninen,0,HIFK U16,5,0,0,0,0.00,0,0,2006-2007,2.0
Iiro,Nousiainen,0,Blues U16,5,0,0,0,0.00,8,0,2006-2007,1.0
Jesse,Elokorpi,1,Blues U16,6,0,0,0,0.00,0,0,2006-2007,1.0
Ville,Järvinen,0,Jokerit U16,9,0,0,0,0.00,22,0,2006-2007,3.0
Sami,Forsback,0,Blues U16,10,0,0,0,0.00,6,0,2006-2007,1.0
Otto,Rouhiainen,0,Jokerit U16,11,0,0,0,0.00,8,0,2006-2007,3.0
